Name;Type;Material;Thickness[mm];Constant
F.Mask;Top Solder Mask;;0.01;
F.Cu;copper;;0.035;
dielectric 1;prepreg;IS400;0.12;4.2
In1.Cu;copper;;0.018;
dielectric 2;core;FR4;1.2;4.4
In2.Cu;copper;;0.018;
dielectric 3;prepreg;IS400;0.12;4.2
B.Cu;copper;;0.035;
B.Mask;Bottom Solder Mask;;0.01;
